Word,Meaning
pass,"지 나 가 다, 통 과 하 다"
shout,외치다
drive,운전하다
cross,교차하다
receive,"받다, 수령하다"
seem,보이다
kill,죽이다
invite,초대하다
climb,"오르다, 등산하다"
arrive,도착하다
add,"더하다, 추가하다"
collect,"모으다, 수집하다"
fat,"뚱뚱한, 지방"
rich,부유한
dark,어두운
blind,눈이 먼
whole,전체의
heavy,무거운
afraid,"두려운, 유감의"
terrible,끔찍한
physical,물리적인
strange,"이상한, 낯선"
dangerous,위험한
possible,가능한
off,"떨어져, 끊어져"
maybe,아마도
over,"~위에, ~이상"
ago,~전에
sense,"감각, 감지하다"
truth,진실
pleasure,"기쁨, 즐거움"
success,성공
image,"영상, 이미지"
friendship,우정
map,지도
being,존재
project,"계획, 영사하다"
goods,상품
traffic,교통
coin,동전
safety,안전
bank,"은행, 둑, 제방"
spaceship,우주선
address,"주소, 연설하다"
rainbow,무지개
electricity,전기
million,백만
law,법
model,"모범, 모형"
campaign,"군사행동, 유세"
type,유형
sentence,"문장, 판결하다"
block,"막다, 차단하다"
heat,"열, 가열하다"
seat,앉히다
circle,원
touch,"만 지 다, 감 동 시 키 다"
reach,도착하다
wonder,의아해하다
mix,"섞다, 혼합하다"
magic,"마법의, 마술"
excite,흥분시키다
secret,"비밀, 비결"
rise,오르다
general,"일반적인, 장군"
lead,이끌다
prepare,준비하다
enter,들어가다
imagine,상상하다
fill,채우다
forget,잊다
produce,생산하다
develop,"발 전 하 다, 계 발 하 다"
cool,"시원한, 식히다"
recycle,재활용하다
slow,"느린, 더딘"
several,몇몇의
clear,"깨끗한, 분명한"
funny,재미있는
FALSE,거짓의
safe,"안전한, 금고"
national,국가의
enough,충분한
main,주요한
loud,"큰, 시끄러운"
almost,거의
far,"먼, 멀리 떨어진"
finally,"마침내, 결국"
library,"도서관, 서재"
peace,평화
museum,박물관
beauty,아름다움
ocean,"바다, 대양"
sight,"시각, 시력, 견해"
bone,뼈
nation,국가
bath,목욕하다
foreigner,외국인
pity,유감
lend,빌리다
proverb,속담
magazine,잡지
product,제품
storm,폭풍
invention,발명
straw,"빨대, 지푸라기"
technology,기술
disease,질병
trash,쓰레기
respect,존중하다
moment,순간
reply,대답하다
date,날짜
record,기록하다
taste,맛이 나다
cheer,응원하다
balance,균형
shake,흔들다
ring,울리다
key,"열쇠, 핵심"
share,"나누다, 공유하다"
square,사각형
return,"돌 아 오 다, 반 납 하 다"
wake,깨어나다
lift,들어 올리다
discover,발견하다
raise,"올리다, 기르다"
solve,"풀다, 해결하다"
explain,설명하다
continue,계속하다
marry,결혼하다
burn,"타다, 태우다"
exciting,흥미로운
simple,"간단한, 검소한"
common,"공통의, 흔한"
quiet,조용한
global,세계의
traditional,전통적인
regular,규칙적인
international,국제적인
serious,"심각한, 진지한"
huge,"거대한, 엄청난"
fresh,신선한
amazing,놀라운
probably,아마도
instead,대신에
else,그 밖의
suddenly,갑자기
bridge,"다리, 연결하다"
creature,"생물, 생명체"
ghost,유령
police,경찰
scene,장면
army,군인
effort,노력
society,사회
wisdom,지혜
fan,"애호가, 부채"
fault,"실수, 잘못"
wheel,바퀴
flight,"비행, 비행하다"
pair,"쌍, 짝"
zoo,동물원
joy,즐거움
candle,"초, 양초"
memory,"기억, 기억력"
bottom,바닥
recipe,조리법
mistake,실수
kid,아이
trouble,"문제, 골칫거리"
smoke,연기
bat,"방망이, 치다"
favor,"애호, 선호"
blow,"불다, 타격하다"
trick,"속임수, 비결"
flood,"넘쳐흐르다, 홍수"
experiment,실험
hurry,서두르다
drop,"방울, 떨어뜨리다"
treat,"다루다, 대접하다"
press,"누르다, 압박하다"
express,표현하다
stick,"막대기, 찌르다"
breathe,호흡하다
roll,구르다
hate,미워하다
serve,제공하다
create,"창조하다, 만들다"
improve,"개선하다, 나아지다"
divide,"나누다, 분할하다"
realize,"깨닫다, 실현하다"
soft,부드러운
dry,"마른, 건조한"
empty,"텅 빈, 비우다"
complete,완성하다
perfect,완벽한
lucky,운 좋은
successful,성공적인
natural,"자연의, 당연한"
everyday,매일
friendly,"친절한, 친근한"
low,낮은
cute,귀여운
alone,혼자
already,이미
inside,"내부, 내부의"
especially,특히
hometown,고향
couple,한 쌍
yard,"마당, 뜰"
honey,꿀
