Word,Meaning
urgent,"긴급한, 급박한"
capable,유능한
military,"군, 군의"
absent,결석의
historical,역사적인
alike,"같은, 마찬가지의"
fully,"충분히, 완전히"
otherwise,그렇지 않으면
citizen,시민
author,작가
fare,"요금, 운임"
secretary,"비서, 서기, 장관"
tale,"이야기, 설화"
beggar,거지
suggestion,"제안, 시사"
shepherd,양치기
responsibility,"책임, 책임감"
fable,우화
risk,위험
tongue,혀
intelligence,지능
departure,출국
viewpoint,관점
entrance,입구
scissors,가위
method,방법
shell,껍질
aptitude,적성
surface,"표면, 떠오르다"
victory,승리
version,"판, 버전"
chain,"사슬, 연쇄"
account,"계산, 계좌"
influence,영향을 주다
blossom,"꽃, 꽃을 피우다"
fasten,"묶다, 조이다"
praise,칭찬하다
manufacture,제조하다
wind,바람
hire,고용하다
require,요구하다
examine,시험하다
tremble,"떨다, 흔들리다"
explode,폭발하다
starve,굶주리다
erase,지우다
quit,그만두다
interrupt,"가 로 막 다, 중 단 하 다"
spoil,망치다
deny,부인하다
punish,벌하다
former,이전의
translate,"번역하다, 바꾸다"
clever,"영리한, 영악한"
wealthy,부유한
distant,거리
dependent,의존적인
faint,"희미한, 기절한"
mild,온화한
double,두 배의
harsh,혹독한
entire,전체의
informal,비공식적인
frequent,빈번한
lunar,달의
possibly,아마도
overseas,해외의
client,고객
counselor,"고문, 상담자"
clown,광대
opportunity,기회
immigrant,"이주자, 이민자"
literature,문학
dragon,용
illusion,"환상, 환각"
nail,"손톱, 못"
leisure,여가
baggage,"짐, 수화물"
shuttle,왕복선
label,라벨을 붙이다
location,위치
coal,석탄
laundry,세탁물
bubble,거품
germ,병균
bug,"벌레, 곤충"
length,길이
dawn,새벽
relation,관계
detail,세부사항
similarity,유사
plenty,많은
sort,분류하다
delight,"기쁨, 즐거움"
rental,"임대, 임대료"
dispute,논쟁
commercial,상업적인
flame,"불꽃, 화염"
ideal,이상적인
flash,"번쩍이다, 섬광"
complex,복잡한
regret,후회하다
junior,"손아래의, 후배의"
bless,축복하다
shut,"닫다, 막다"
spell,철자를 쓰다
bore,지루하게 하다
surround,둘러싸다
compose,작문
swear,맹세하다
mend,"고치다, 수선하다"
wander,"헤매다, 방랑하다"
inform,"알리다, 공지하다"
generous,관대한
calculate,계산하다
grateful,감사하는
ordinary,평범한
instant,즉각적인
selfish,이기적인
medium,"중간, 매체"
strict,엄격한
needy,"가난한, 어려운"
sour,"신, 신맛의"
illegal,불법적인
solar,태양의
either,"또한, 역시"
neither,둘 다 ~아닌
appetite,식욕
conductor,지휘자
beast,짐승
court,"법정, 경기장"
palm,손바닥
dictation,"명 령, 지 시, 받 아 쓰 기"
lab,"연구실, 실험실"
jam,"잼, 정체"
institute,교육기관
string,"끈, 줄"
journalism,언론
salary,급여
outline,"개요, 윤곽"
scale,"규모, 비늘, 저울"
crosswalk,교차로
spot,"지점, 식별하다"
lyrics,가사
shame,"부끄러움, 수치"
charm,"매력, 주문"
chemistry,화학
force,"힘, 동력"
import,수입하다
function,"기능, 기능하다"
load,짐을 싣다
contrast,"대조, 대비"
link,연결하다
assist,"돕다, 지원하다"
assistant,"조수, 보조"
employ,고용
liquid,액체
govern,통치
solid,"고체, 딱딱한"
entertain,즐겁게 하다
evil,"악, 악의"
criticize,비판하다
snap,"덥 석  물 다, 낚 아 채 다"
indicate,가리키다
possess,소유하다
react,반응하다
contribute,기여
dare,감히 ~하다
recover,회복하다
obvious,"명백한, 뻔한"
ignore,무시하다
satisfactory,만족
diligent,"근면한, 성실한"
confident,자신감 있는
pale,창백한
proper,적절한
brief,"간단한, 간략한"
typical,전형적인
rare,"드문, 희귀한"
outer,외부의
genetic,"유전의, 유전자의"
extracurricular,과외의
organic,유기농의
underwater,수중의
fairly,"공정히, 꽤, 상당히"
unfortunately,불행히도
anniversary,기념일
atmosphere,"대기권, 분위기"
nutrient,영양분
voyage,"여행, 항해"
grain,곡물
navy,해군
document,문서
instrument,"도구, 악기"
license,"면허, 면허증"
tube,"관, 튜브"
blackboard,칠판
leather,가죽
chalk,분필
jewel,보석
department,부서
mud,진흙
fortune,"운, 큰 재산"
target,"목표, 과녁"
resource,자원
aspect,측면
hunger,"배고픔, 굶주림"
anger,분노
error,"오류, 실수"
iron,"철, 다림질하다"
jail,감옥
comment,논평하다
protein,단백질
protest,항의하다
request,"요청, 요청하다"
concern,염려하다
bomb,폭탄
dump,"버리다, 폐기하다"
poison,독
enable,~할 수 있게 하다
wound,"상처, 부상"
annoy,괴롭히다
chase,"쫓다, 추적하다"
insist,주장
afford,~할 여유가 있다
combine,조합
absorb,흡수하다
owe,빚을 지다
attach,부착
cease,중단하다
cooperate,협력하다
awake,깨어나다
defend,방어하다
idle,"게으른, 한가한"
be aware of,~를 인식하다
previous,이전의
precious,귀중한
efficient,효율적인
political,정치적인
rough,"거친, 험한"
nuclear,"핵의, 원자력의"
severe,혹독한
indoor,실내의
romantic,낭만적인
aloud,크게
sometime,언젠가
democracy,민주주의
identity,"동일, 정체, 신원"
justice,정의
devil,"악마, 악마의"
faith,신념
spectator,"관객, 구경꾼"
glory,영광
recreation,"오락, 기분전환"
apology,사과
income,수입
crisis,위기
tax,세금
debt,"빚, 채무"
fee,요금
gap,"차이, 간격"
fuel,연료
angle,"각도, 관점"
burden,"짐, 부담"
theory,이론
selection,"선택, 선별"
nest,둥지
sum,"총계, 요약하다"
labor,"노동, 노력"
profit,이윤
remark,비평하다
process,"과 정, 절 차, 가 공 하 다"
comfort,"편리, 편안"
exit,"출구, 나가다"
approach,"접 근 하 다, 접 근 방 식"
purchase,구매하다
struggle,"애쓰다, 노력하다"
defeat,"물 리 치 다, 패 배 시 키 다"
content,내용
persuade,설득하다
acid,산
emphasize,강조하다
differ,다르다
accuse,고소
deserve,~해 마땅하다
investigate,조사하다
permit,허가하다
distinguish,구별하다
forbid,금지하다
adopt,채택
reject,거부하다
usual,"평범한, 보통의"
pure,순수한
primary,"주요한, 제"
dumb,"벙어리의, 우둔한"
sufficient,충분한
slight,약간의
accurate,정확한
particular,특별한
complicated,복잡한
financial,재정의
artificial,인공의
be fond of,~를 좋아하다
tropical,열대의
aboard,배
hardly,거의 ~아닌
pupil,"제자, 동공"
mankind,인류
servant,"하인, 시종"
poet,시인
profession,"직업, 선언"
detective,탐정
occupation,"직업, 거주"
consumer,소비자
surgery,수술
chef,요리사
instruction,"지시, 교육"
wage,"임금, 급료"
principle,"원리, 원칙"
steel,강철
revolution,혁명
device,"장치, 설비"
authority,"권위, 공공기관"
pill,알약
rank,"등급, 평가하다"
ceiling,천장
property,재산
aisle,"통로, 복도"
advantage,"유리, 이익"
appearance,외모
affair,"일, 사건"
destination,목적지
occasion,"경우, 근거"
sweat,땀을 흘리다
propose,제안하다
switch,"바꾸다, 전환하다"
approve,승인하다
grab,움켜쥐다
admit,인정하다
plain,"평범한, 평원"
conduct,지휘
giant,"거인, 거대한"
reserve,보존
found,"설립하다, 세우다"
reveal,드러내다
seek,"찾다, 구하다"
extend,확장하다
fog,안개
involve,포함하다
swing,"흔들다, 그네"
definite,"뚜렷한, 명백한"
cancel,취소하다
significant,"중요한, 상당한"
avoid,회피하다
vital,"생명의, 중대한"
permanent,영구적인
extreme,극단적인
temporary,일시적인
academic,학구적인
steep,가파른
guilty,유죄의
logical,논리적인
conscious,의식적인
ridiculous,우스운
generally,일반적으로
stairway,계단
